,Year,NOC,Total,Event number,Medal share,GDP,GDP/capita,population (millions),GNI,number of 65+
146,1984,BEL,4,221,0.6,247975853676.465,25161.49097938312,9.855372,83204003071.7677,13.627654034774132
147,1984,BEN,0,221,0.0,3341259668.13691,778.2914483427734,4.29307,1021533916.74736,4.087005336507441
148,1984,BRA,7,221,1.06,774960832604.42,5788.09412965665,133.888775,197144720543.593,4.005910876397218
149,1984,CHN,30,221,4.52,618155123011.759,596.2000559513506,1036.825,261221374528.571,4.723333735201216
150,1984,CIV,1,221,0.15,20542492690.8584,2135.0824220431837,9.621405,6349599661.47676,2.43944621393653
151,1984,CMR,0,221,0.0,16069264259.5796,1689.9769638946339,9.50857,7056305719.07926,3.7459996613581223
152,1984,COL,1,221,0.15,93379942725.011,3254.9004345985254,28.689032,36678124773.9728,3.6277626934223504
153,1984,DOM,1,221,0.15,17760080888.6593,2827.091192482535,6.282104,9972699700.0,3.129874959090139
154,1984,ECU,0,221,0.0,36727855721.8459,4070.4800179459467,9.022979,15808986195.6227,3.7092738440375403
155,1984,ESP,5,221,0.75,578307026952.115,15087.438954456968,38.330364,168552857586.421,11.790576786591435
156,1984,FIN,11,221,1.66,127149067752.734,26045.51387115252,4.881803,52562557380.2928,12.394846740026175
157,1984,FRA,25,221,3.77,1384438090121.85,24600.992355863324,56.275701,527303159948.96,12.907103547230802
158,1984,GBR,36,221,5.43,1463551322001.21,25939.340228434183,56.422072,489837152168.13,14.947646729457222
159,1984,GHA,0,221,0.0,9909162140.99063,742.6772940450029,13.342487,4364497716.89498,2.3400285119258504
160,1984,IND,0,221,0.0,331044280901.668,433.9315544188198,762.895156,210960266673.958,4.015224472076738
161,1984,IRL,1,221,0.15,62788118906.0824,17774.801858690877,3.532423,18975880143.4181,10.83933039729387
162,1984,IRQ,0,221,0.0,34950157495.7675,2272.8805855231035,15.377032,45420645161.2903,4.277607018051338
163,1984,ITA,32,221,4.83,1300715172729.04,22990.29032983214,56.576718,437383047167.732,12.956833233062406
164,1984,JAM,3,221,0.45,8699394145.10477,3842.3273515929195,2.264095,2107229464.23861,7.139099728589127
165,1984,JOR,0,221,0.0,12225399103.2522,4648.548541716063,2.629939,4906143302.9909,2.3598265967385554
166,1984,JPN,29,221,4.37,2631276932026.82,21912.151861852384,120.083,1322544601037.8,10.26499504509381
167,1984,KEN,3,221,0.45,22182594065.2399,1182.871320849327,18.753176,5987636718.50822,2.067031205807486
168,1984,MAR,2,221,0.3,26449096811.3842,1212.3008790322217,21.817271,14365668282.1633,2.5916990259689214
169,1984,MEX,6,221,0.9,560536676759.343,7627.422994253627,73.489654,174185041716.329,3.758897817099534
170,1984,MLT,0,221,0.0,2579669366.47065,7803.157860180494,0.330593,1210693640.00372,9.462692797488149
171,1984,NOR,3,221,0.45,183787620130.206,44392.0834091663,4.140099,60446364026.2207,15.51549854242616
172,1984,NZL,11,221,1.66,83451718474.8688,25859.663002345387,3.2271,20492585295.0327,10.16026773263921
173,1984,PAK,1,221,0.15,69807101510.0994,742.5981902435929,94.003867,30706971613.2383,3.4524271219608447
174,1984,PER,1,221,0.15,64451178017.4545,3341.924767127557,19.285646,16489727977.2334,3.689453804140136
175,1984,SGP,0,221,0.0,47214649403.5496,17280.684616489514,2.732221,19624088973.0241,5.225675375454621
176,1984,SWE,19,221,2.87,257250711527.949,30857.970544118256,8.336605,106434177808.941,16.937062509258862
177,1984,THA,1,221,0.15,84289344063.5606,1698.1246398042022,49.636724,41313188126.6022,3.6114148065049583
178,1984,TUR,2,221,0.3,210848422225.247,4382.926738228474,48.106764,58486918340.2422,4.610062734629167
179,1984,UGA,0,221,0.0,5251611563.47771,359.257879458131,14.617944,3568647477.05434,2.9117569474886484
180,1984,USA,169,221,25.49,7995965282000.0,33906.35124350684,235.825,4032292000000.0,11.662618467083643
181,1988,ARG,2,237,0.28,293550663101.649,9262.963926608365,31.690792,120715908148.068,8.442559592704404
182,1988,AUS,13,237,1.83,586318764370.409,35465.33680469229,16.532164,231778958090.803,10.801326432522686
183,1988,AUT,1,237,0.14,221979171128.378,29264.32357782516,7.585317,133707123593.001,14.724671361790154
184,1988,BEL,1,237,0.14,274989527944.74,27772.052045468317,9.901664,163105286889.742,14.468679203818672
185,1988,BRA,6,237,0.84,929551647151.897,6399.492061755151,145.253973,266239640696.035,4.282777174019192
186,1988,CHN,27,237,3.8,948714904915.565,861.1919654653241,1101.63,312230327072.016,5.078024926699527
187,1988,CMR,0,237,0.0,16723414693.4432,1554.2823765815986,10.759573,12193313328.4002,3.645627944529026
188,1988,COL,1,237,0.14,111722463663.498,3574.349408480869,31.256727,37467546940.1848,3.780555782440049
189,1988,ESP,4,237,0.56,677726999867.622,17482.086988287156,38.766939,370872708184.545,12.953271858786684
190,1988,FIN,4,237,0.56,147436510957.812,29806.343329290463,4.946481,108878171997.157,13.043757774466332
191,1988,FRA,16,237,2.25,1546714398124.5,26912.18120640546,57.472651,1025574275960.8,13.660448688890304
192,1988,GBR,23,237,3.23,1752047807086.21,30776.379693824656,56.928327,947801618641.053,15.598614025667748
193,1988,GUY,0,237,0.0,1934175977.75526,2550.1693951549346,0.75845,319100010.0,3.8760630232711453
194,1988,IND,0,237,0.0,416101576411.3,499.0845185123018,833.729681,293483314650.438,4.047477230212702
195,1988,IRQ,0,237,0.0,40551373020.5064,2387.151766998,16.987346,60425161290.3226,3.9689189824001936
196,1988,ITA,14,237,1.97,1478780730118.51,26113.35551523286,56.629288,889209764950.907,14.218301667504631
197,1988,JAM,2,237,0.28,9646296087.66834,4096.430951891278,2.354805,3493113534.0524,7.072942345544536
198,1988,JOR,0,237,0.0,13028517112.2992,4126.635000919872,3.157177,5969851188.88592,2.338101411482473
199,1988,JPN,13,237,1.83,3190321043519.37,26026.864882110738,122.578,3093131811751.23,11.54111586092121
200,1988,KEN,8,237,1.13,27898989515.4315,1290.0597488274366,21.626122,8031680877.43913,2.098614814066063
201,1988,MAR,3,237,0.42,34164383696.1542,1440.283892439193,23.72059,24784028833.8551,2.8180875770796594
202,1988,MEX,2,237,0.28,571972511756.533,7250.068486101324,78.892015,174365613985.306,3.9813801181272908
203,1988,MLT,0,237,0.0,3103013314.10185,8934.033870587635,0.347325,2114205657.19476,10.098034981645434
204,1988,NOR,5,237,0.7,204850304846.543,48663.94793061365,4.209488,99454657050.7902,16.193917169974114
205,1988,NZL,13,237,1.83,87627934238.7419,26688.169043900194,3.2834,43148470209.3398,10.762715477858317
206,1988,PAK,1,237,0.14,90783898907.1746,840.842056198019,107.967838,37638850724.0103,3.4605786956667597
207,1988,PER,1,237,0.14,71524042000.7667,3382.7431863482384,21.143799,13993512558.0,3.5776068435005457
208,1988,SEN,1,237,0.14,7412287138.2477,1041.9829097591864,7.113636,6200218479.41334,3.0231234772203694
209,1988,SUR,1,237,0.14,2683918643.38919,6674.106822241041,0.402139,1153000000.0,3.548772936720885
210,1988,SWE,9,237,1.27,286070699812.652,33908.73855375761,8.436489,203470249706.228,17.70522073815304
211,1988,TUN,0,237,0.0,16025993515.4768,1986.1710972548542,8.068788,9598507810.67848,4.237451770947508
