Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1928,NED,NED1928,8,7,8,2,0,3,6,7,5
1928,NOR,NOR1928,1,2,1,0,0,0,1,2,1
1928,NZL,NZL1928,1,0,0,0,0,0,1,0,0
1928,PHI,PHI1928,0,0,1,0,0,0,0,0,1
1928,POL,POL1928,2,1,4,1,0,0,1,1,4
1928,POR,POR1928,0,0,1,0,0,0,0,0,1
1928,RSA,RSA1928,1,1,1,0,1,0,1,0,1
1928,SUI,SUI1928,7,6,4,0,0,0,7,6,4
1928,SWE,SWE1928,7,9,9,0,3,0,7,6,9
1928,TCH,TCH1928,2,5,2,0,0,0,2,5,2
1928,URU,URU1928,1,0,0,0,0,0,1,0,0
1928,USA,USA1928,22,16,18,6,3,5,16,13,13
1928,YUG,YUG1928,1,1,3,0,0,0,1,1,3
1932,ARG,ARG1932,3,1,0,0,0,0,3,1,0
1932,AUS,AUS1932,3,0,2,1,0,1,2,0,1
1932,AUT,AUT1932,1,1,3,1,0,0,0,1,3
1932,BEL,BEL1932,0,0,1,0,0,0,0,0,1
1932,CAN,CAN1932,2,4,10,0,1,2,2,3,8
1932,DEN,DEN1932,0,6,2,0,1,0,0,5,2
1932,ESP,ESP1932,0,0,1,0,0,0,0,0,1
1932,FIN,FIN1932,5,8,12,0,0,0,5,8,12
1932,FRA,FRA1932,11,5,4,0,0,0,11,5,4
1932,GBR,GBR1932,5,9,3,0,3,1,5,6,2
1932,GER,GER1932,5,12,7,0,1,1,5,11,6
1932,HUN,HUN1932,6,6,4,0,1,0,6,5,4
1932,IND,IND1932,1,0,0,0,0,0,1,0,0
1932,IRL,IRL1932,2,0,0,0,0,0,2,0,0
1932,ITA,ITA1932,12,12,12,0,0,0,12,12,12
1932,JPN,JPN1932,7,6,5,0,0,1,7,6,4
1932,LAT,LAT1932,0,1,0,0,0,0,0,1,0
