,NOC,Year,Medal,Number of Medals
2623,USA,1932,Gold,44
2624,USA,1932,Silver,36
2625,USA,1936,Bronze,12
2626,USA,1936,Gold,24
2627,USA,1936,Silver,21
2628,USA,1948,Bronze,18
2629,USA,1948,Gold,37
2630,USA,1948,Silver,27
2631,USA,1952,Bronze,17
2632,USA,1952,Gold,40
2633,USA,1952,Silver,19
2634,USA,1956,Bronze,17
2635,USA,1956,Gold,32
2636,USA,1956,Silver,25
2637,USA,1960,Bronze,16
2638,USA,1960,Gold,34
2639,USA,1960,Silver,21
2640,USA,1964,Bronze,28
2641,USA,1964,Gold,36
2642,USA,1964,Silver,26
2643,USA,1968,Bronze,33
2644,USA,1968,Gold,45
2645,USA,1968,Silver,28
2646,USA,1972,Bronze,28
2647,USA,1972,Gold,33
2648,USA,1972,Silver,31
2649,USA,1976,Bronze,24
2650,USA,1976,Gold,34
2651,USA,1976,Silver,35
2652,USA,1984,Bronze,28
2653,USA,1984,Gold,80
2654,USA,1984,Silver,61
2655,USA,1988,Bronze,24
2656,USA,1988,Gold,36
2657,USA,1988,Silver,31
2658,USA,1992,Bronze,36
2659,USA,1992,Gold,37
2660,USA,1992,Silver,33
2661,USA,1996,Bronze,22
2662,USA,1996,Gold,44
2663,USA,1996,Silver,31
2664,USA,2000,Bronze,30
2665,USA,2000,Gold,36
2666,USA,2000,Silver,24
2667,USA,2004,Bronze,25
2668,USA,2004,Gold,36
2669,USA,2004,Silver,39
2670,USA,2008,Bronze,31
2671,USA,2008,Gold,36
2672,USA,2008,Silver,39
2673,USA,2012,Bronze,27
2674,USA,2012,Gold,46
2675,USA,2012,Silver,28
2676,USA,2016,Bronze,37
2677,USA,2016,Gold,46
2678,USA,2016,Silver,36
2679,UZB,1996,Silver,1
2680,UZB,2000,Bronze,1
2681,UZB,2000,Gold,1
2682,UZB,2000,Silver,1
2683,UZB,2004,Gold,2
2684,UZB,2004,Silver,1
2685,UZB,2008,Bronze,2
2686,UZB,2008,Gold,1
2687,UZB,2008,Silver,2
2688,UZB,2012,Bronze,1
2689,UZB,2012,Gold,1
2690,UZB,2016,Bronze,2
2691,UZB,2016,Gold,4
2692,UZB,2016,Silver,2
2693,VEN,1952,Bronze,1
2694,VEN,1960,Bronze,1
2695,VEN,1968,Gold,1
2696,VEN,1976,Silver,1
2697,VEN,1980,Silver,1
2698,VEN,1984,Bronze,2
2699,VEN,2004,Bronze,2
2700,VEN,2008,Bronze,1
2701,VEN,2012,Gold,1
2702,VEN,2016,Bronze,2
2703,VEN,2016,Silver,1
2704,VIE,2000,Silver,1
2705,VIE,2008,Silver,1
2706,VIE,2016,Gold,1
2707,VIE,2016,Silver,1
2708,WIF,1960,Bronze,2
2709,YUG,1924,Gold,2
2710,YUG,1928,Bronze,3
2711,YUG,1928,Gold,1
2712,YUG,1928,Silver,1
2713,YUG,1936,Silver,1
2714,YUG,1948,Silver,2
2715,YUG,1952,Gold,1
2716,YUG,1952,Silver,2
2717,YUG,1956,Silver,3
2718,YUG,1960,Gold,1
2719,YUG,1960,Silver,1
2720,YUG,1964,Bronze,2
2721,YUG,1964,Gold,2
2722,YUG,1964,Silver,1
2723,YUG,1968,Bronze,1
2724,YUG,1968,Gold,3
2725,YUG,1968,Silver,3
2726,YUG,1972,Bronze,1
2727,YUG,1972,Gold,2
2728,YUG,1972,Silver,1
2729,YUG,1976,Bronze,3
2730,YUG,1976,Gold,2
2731,YUG,1976,Silver,3
2732,YUG,1980,Bronze,3
2733,YUG,1980,Gold,2
2734,YUG,1980,Silver,3
2735,YUG,1984,Bronze,6
2736,YUG,1984,Gold,7
2737,YUG,1984,Silver,4
2738,YUG,1988,Bronze,4
2739,YUG,1988,Gold,3
2740,YUG,1988,Silver,4
2741,ZAM,1996,Silver,1
2742,ZIM,1980,Gold,1
2743,ZIM,2004,Bronze,1
2744,ZIM,2004,Gold,1
2745,ZIM,2004,Silver,1
2746,ZIM,2008,Gold,1
2747,ZIM,2008,Silver,3
