,NOC,Year,Medal,Number of Medals
572,CZE,2000,Gold,2
573,CZE,2000,Silver,3
574,CZE,2004,Bronze,5
575,CZE,2004,Gold,1
576,CZE,2004,Silver,3
577,CZE,2008,Gold,3
578,CZE,2008,Silver,3
579,CZE,2012,Bronze,3
580,CZE,2012,Gold,4
581,CZE,2012,Silver,3
582,CZE,2016,Bronze,7
583,CZE,2016,Gold,1
584,CZE,2016,Silver,2
585,DEN,1896,Bronze,3
586,DEN,1896,Gold,1
587,DEN,1896,Silver,2
588,DEN,1900,Bronze,2
589,DEN,1900,Gold,2
590,DEN,1900,Silver,2
591,DEN,1906,Bronze,1
592,DEN,1906,Gold,3
593,DEN,1906,Silver,2
594,DEN,1908,Bronze,3
595,DEN,1908,Silver,2
596,DEN,1912,Bronze,5
597,DEN,1912,Gold,1
598,DEN,1912,Silver,6
599,DEN,1920,Bronze,1
600,DEN,1920,Gold,3
601,DEN,1920,Silver,9
602,DEN,1924,Bronze,3
603,DEN,1924,Gold,2
604,DEN,1924,Silver,6
605,DEN,1928,Bronze,4
606,DEN,1928,Gold,3
607,DEN,1928,Silver,2
608,DEN,1932,Bronze,3
609,DEN,1932,Silver,5
610,DEN,1936,Bronze,3
611,DEN,1936,Silver,2
612,DEN,1948,Bronze,9
613,DEN,1948,Gold,5
614,DEN,1948,Silver,8
615,DEN,1952,Bronze,2
616,DEN,1952,Gold,2
617,DEN,1952,Silver,1
618,DEN,1956,Bronze,1
619,DEN,1956,Gold,1
620,DEN,1956,Silver,2
621,DEN,1960,Bronze,1
622,DEN,1960,Gold,2
623,DEN,1960,Silver,3
624,DEN,1964,Bronze,3
625,DEN,1964,Gold,2
626,DEN,1964,Silver,1
627,DEN,1968,Bronze,3
628,DEN,1968,Gold,1
629,DEN,1968,Silver,4
630,DEN,1972,Gold,1
631,DEN,1976,Bronze,2
632,DEN,1976,Gold,1
633,DEN,1980,Bronze,2
634,DEN,1980,Gold,2
635,DEN,1980,Silver,1
636,DEN,1984,Bronze,3
637,DEN,1984,Silver,3
638,DEN,1988,Bronze,1
639,DEN,1988,Gold,2
640,DEN,1988,Silver,1
641,DEN,1992,Bronze,4
642,DEN,1992,Gold,1
643,DEN,1992,Silver,1
644,DEN,1996,Bronze,1
645,DEN,1996,Gold,4
646,DEN,1996,Silver,1
647,DEN,2000,Bronze,1
648,DEN,2000,Gold,2
649,DEN,2000,Silver,3
650,DEN,2004,Bronze,5
651,DEN,2004,Gold,2
652,DEN,2004,Silver,1
653,DEN,2008,Bronze,3
654,DEN,2008,Gold,2
655,DEN,2008,Silver,2
656,DEN,2012,Bronze,3
657,DEN,2012,Gold,2
658,DEN,2012,Silver,4
659,DEN,2016,Bronze,7
660,DEN,2016,Gold,2
661,DEN,2016,Silver,6
662,DJI,1988,Bronze,1
663,DOM,1984,Bronze,1
664,DOM,2004,Gold,1
665,DOM,2008,Gold,1
666,DOM,2008,Silver,1
667,DOM,2012,Gold,1
668,DOM,2012,Silver,1
669,ECU,1996,Gold,1
670,ECU,2008,Silver,1
671,EGY,1928,Bronze,1
672,EGY,1928,Gold,2
673,EGY,1928,Silver,1
674,EGY,1936,Bronze,2
675,EGY,1936,Gold,1
676,EGY,1936,Silver,1
677,EGY,1948,Bronze,1
678,EGY,1948,Gold,2
679,EGY,1948,Silver,2
680,EGY,1952,Bronze,1
681,EGY,1984,Silver,1
682,EGY,2004,Bronze,2
683,EGY,2004,Gold,1
684,EGY,2004,Silver,1
685,EGY,2012,Silver,2
686,EGY,2016,Bronze,2
687,ERI,2004,Bronze,1
688,ESP,1900,Gold,1
689,ESP,1920,Silver,2
690,ESP,1928,Gold,1
691,ESP,1932,Bronze,1
692,ESP,1948,Silver,1
693,ESP,1952,Silver,1
694,ESP,1960,Bronze,1
695,ESP,1976,Silver,2
696,ESP,1980,Bronze,2
697,ESP,1980,Gold,1
698,ESP,1980,Silver,3
699,ESP,1984,Bronze,2
700,ESP,1984,Gold,1
701,ESP,1984,Silver,2
702,ESP,1988,Bronze,2
703,ESP,1988,Gold,1
704,ESP,1988,Silver,1
705,ESP,1992,Bronze,1
706,ESP,1992,Gold,13
707,ESP,1992,Silver,7
708,ESP,1996,Bronze,4
709,ESP,1996,Gold,5
710,ESP,1996,Silver,6
711,ESP,2000,Bronze,5
712,ESP,2000,Gold,3
713,ESP,2000,Silver,3
714,ESP,2004,Bronze,6
715,ESP,2004,Gold,3
716,ESP,2004,Silver,11
717,ESP,2008,Bronze,3
718,ESP,2008,Gold,5
719,ESP,2008,Silver,10
720,ESP,2012,Bronze,3
721,ESP,2012,Gold,3
722,ESP,2012,Silver,10
723,ESP,2016,Bronze,6
724,ESP,2016,Gold,7
725,ESP,2016,Silver,4
726,EST,1920,Gold,1
727,EST,1920,Silver,2
728,EST,1924,Bronze,4
729,EST,1924,Gold,1
730,EST,1924,Silver,1
731,EST,1928,Bronze,2
732,EST,1928,Gold,2
733,EST,1928,Silver,1
734,EST,1936,Bronze,3
735,EST,1936,Gold,2
736,EST,1936,Silver,2
737,EST,1992,Bronze,1
738,EST,1992,Gold,1
739,EST,2000,Bronze,2
740,EST,2000,Gold,1
741,EST,2004,Bronze,2
742,EST,2004,Silver,1
743,EST,2008,Gold,1
744,EST,2008,Silver,1
745,EST,2012,Bronze,1
746,EST,2012,Silver,1
747,EST,2016,Bronze,1
748,ETH,1960,Gold,1
749,ETH,1964,Gold,1
750,ETH,1968,Gold,1
751,ETH,1968,Silver,1
752,ETH,1972,Bronze,2
753,ETH,1980,Bronze,2
754,ETH,1980,Gold,2
755,ETH,1992,Bronze,2
756,ETH,1992,Gold,1
757,ETH,1996,Bronze,1
758,ETH,1996,Gold,2
759,ETH,2000,Bronze,3
760,ETH,2000,Gold,4
761,ETH,2000,Silver,1
762,ETH,2004,Bronze,2
763,ETH,2004,Gold,2
764,ETH,2004,Silver,3
765,ETH,2008,Bronze,2
766,ETH,2008,Gold,4
767,ETH,2008,Silver,1
768,ETH,2012,Bronze,3
769,ETH,2012,Gold,3
770,ETH,2012,Silver,1
771,ETH,2016,Bronze,5
772,ETH,2016,Gold,1
773,ETH,2016,Silver,2
774,EUN,1992,Bronze,25
775,EUN,1992,Gold,44
776,EUN,1992,Silver,37
777,FIJ,2016,Gold,1
778,FIN,1906,Bronze,1
779,FIN,1906,Gold,2
780,FIN,1906,Silver,1
781,FIN,1908,Bronze,3
782,FIN,1908,Gold,1
783,FIN,1908,Silver,1
784,FIN,1912,Bronze,9
785,FIN,1912,Gold,9
786,FIN,1912,Silver,7
787,FIN,1920,Bronze,9
788,FIN,1920,Gold,15
789,FIN,1920,Silver,10
790,FIN,1924,Bronze,10
791,FIN,1924,Gold,14
792,FIN,1924,Silver,13
793,FIN,1928,Bronze,9
794,FIN,1928,Gold,8
795,FIN,1928,Silver,8
796,FIN,1932,Bronze,12
797,FIN,1932,Gold,5
