,NOC,Year,Event,Bronze,Gold,Silver,Total
346,AUS,1996,Cycling Women's Points Race,1.0,0.0,0.0,1.0
347,AUS,1996,Cycling Women's Sprint,0.0,0.0,1.0,1.0
348,AUS,1996,"Equestrianism Mixed Three-Day Event, Team",0.0,1.0,0.0,1.0
349,AUS,1996,Hockey Men's Hockey,1.0,0.0,0.0,1.0
350,AUS,1996,Hockey Women's Hockey,0.0,1.0,0.0,1.0
351,AUS,1996,Rowing Men's Coxless Fours,0.0,1.0,0.0,1.0
352,AUS,1996,Rowing Men's Coxless Pairs,0.0,0.0,1.0,1.0
353,AUS,1996,Rowing Men's Lightweight Double Sculls,1.0,0.0,0.0,1.0
354,AUS,1996,Rowing Men's Quadruple Sculls,1.0,0.0,0.0,1.0
355,AUS,1996,Rowing Women's Coxless Pairs,0.0,1.0,0.0,1.0
356,AUS,1996,Rowing Women's Lightweight Double Sculls,1.0,0.0,0.0,1.0
357,AUS,1996,Sailing Mixed Multihull,0.0,0.0,1.0,1.0
358,AUS,1996,Sailing Mixed Two Person Keelboat,1.0,0.0,0.0,1.0
359,AUS,1996,Shooting Men's Double Trap,0.0,1.0,0.0,1.0
360,AUS,1996,Shooting Men's Trap,0.0,1.0,0.0,1.0
361,AUS,1996,Shooting Women's Double Trap,1.0,0.0,0.0,1.0
362,AUS,1996,Softball Women's Softball,1.0,0.0,0.0,1.0
363,AUS,1996,"Swimming Men's 1,500 metres Freestyle",0.0,1.0,1.0,2.0
364,AUS,1996,Swimming Men's 100 metres Butterfly,0.0,0.0,1.0,1.0
365,AUS,1996,Swimming Men's 200 metres Butterfly,1.0,0.0,0.0,1.0
366,AUS,1996,Swimming Men's 200 metres Freestyle,1.0,0.0,0.0,1.0
367,AUS,1996,Swimming Men's 4 x 100 metres Medley Relay,1.0,0.0,0.0,1.0
368,AUS,1996,Swimming Men's 400 metres Freestyle,1.0,0.0,0.0,1.0
369,AUS,1996,Swimming Women's 100 metres Breaststroke,1.0,0.0,0.0,1.0
370,AUS,1996,Swimming Women's 200 metres Butterfly,0.0,1.0,1.0,2.0
371,AUS,1996,Swimming Women's 4 x 100 metres Medley Relay,0.0,0.0,1.0,1.0
372,AUS,1996,Swimming Women's 4 x 200 metres Freestyle Relay,1.0,0.0,0.0,1.0
373,AUS,1996,Tennis Men's Doubles,0.0,1.0,0.0,1.0
374,AUS,1996,Weightlifting Men's Super-Heavyweight,1.0,0.0,0.0,1.0
375,AUS,2000,Archery Men's Individual,0.0,1.0,0.0,1.0
376,AUS,2000,Athletics Men's Long Jump,0.0,0.0,1.0,1.0
377,AUS,2000,Athletics Women's 400 metres,0.0,1.0,0.0,1.0
378,AUS,2000,Athletics Women's Pole Vault,0.0,0.0,1.0,1.0
379,AUS,2000,Basketball Women's Basketball,0.0,0.0,1.0,1.0
380,AUS,2000,Beach Volleyball Women's Beach Volleyball,0.0,1.0,0.0,1.0
381,AUS,2000,"Canoeing Men's Kayak Doubles, 500 metres",0.0,0.0,1.0,1.0
382,AUS,2000,"Canoeing Women's Kayak Singles, 500 metres",1.0,0.0,0.0,1.0
383,AUS,2000,"Cycling Men's 1,000 metres Time Trial",1.0,0.0,0.0,1.0
384,AUS,2000,"Cycling Men's Individual Pursuit, 4,000 metres",1.0,0.0,0.0,1.0
385,AUS,2000,Cycling Men's Keirin,0.0,0.0,1.0,1.0
386,AUS,2000,Cycling Men's Madison,0.0,1.0,0.0,1.0
387,AUS,2000,Cycling Men's Team Sprint,1.0,0.0,0.0,1.0
388,AUS,2000,Cycling Women's 500 metres Time Trial,0.0,0.0,1.0,1.0
389,AUS,2000,Diving Men's Synchronized Springboard,1.0,0.0,0.0,1.0
390,AUS,2000,Diving Women's Synchronized Platform,1.0,0.0,0.0,1.0
391,AUS,2000,"Equestrianism Mixed Three-Day Event, Individual",0.0,0.0,1.0,1.0
392,AUS,2000,"Equestrianism Mixed Three-Day Event, Team",0.0,1.0,0.0,1.0
393,AUS,2000,Hockey Men's Hockey,1.0,0.0,0.0,1.0
394,AUS,2000,Hockey Women's Hockey,0.0,1.0,0.0,1.0
395,AUS,2000,Rowing Men's Coxed Eights,0.0,0.0,1.0,1.0
396,AUS,2000,Rowing Men's Coxless Fours,1.0,0.0,0.0,1.0
397,AUS,2000,Rowing Men's Coxless Pairs,1.0,0.0,0.0,1.0
398,AUS,2000,Rowing Men's Lightweight Coxless Fours,0.0,0.0,1.0,1.0
399,AUS,2000,Rowing Women's Coxless Pairs,0.0,0.0,1.0,1.0
400,AUS,2000,Sailing Men's Two Person Dinghy,0.0,1.0,0.0,1.0
401,AUS,2000,Sailing Mixed Multihull,0.0,0.0,1.0,1.0
402,AUS,2000,Sailing Mixed One Person Dinghy,1.0,0.0,0.0,1.0
403,AUS,2000,Sailing Women's Two Person Dinghy,0.0,1.0,0.0,1.0
404,AUS,2000,Shooting Men's Double Trap,0.0,0.0,1.0,1.0
405,AUS,2000,Shooting Men's Trap,0.0,1.0,0.0,1.0
406,AUS,2000,"Shooting Women's Air Pistol, 10 metres",1.0,0.0,0.0,1.0
407,AUS,2000,Softball Women's Softball,1.0,0.0,0.0,1.0
408,AUS,2000,"Swimming Men's 1,500 metres Freestyle",0.0,1.0,1.0,2.0
409,AUS,2000,Swimming Men's 100 metres Backstroke,0.0,0.0,1.0,1.0
410,AUS,2000,Swimming Men's 100 metres Butterfly,1.0,0.0,1.0,2.0
411,AUS,2000,Swimming Men's 200 metres Backstroke,1.0,0.0,0.0,1.0
412,AUS,2000,Swimming Men's 200 metres Butterfly,1.0,0.0,0.0,1.0
413,AUS,2000,Swimming Men's 200 metres Freestyle,0.0,0.0,1.0,1.0
414,AUS,2000,Swimming Men's 4 x 100 metres Freestyle Relay,0.0,1.0,0.0,1.0
415,AUS,2000,Swimming Men's 4 x 100 metres Medley Relay,0.0,0.0,1.0,1.0
416,AUS,2000,Swimming Men's 4 x 200 metres Freestyle Relay,0.0,1.0,0.0,1.0
417,AUS,2000,Swimming Men's 400 metres Freestyle,0.0,1.0,0.0,1.0
418,AUS,2000,Swimming Women's 100 metres Breaststroke,0.0,0.0,1.0,1.0
419,AUS,2000,Swimming Women's 200 metres Butterfly,1.0,0.0,1.0,2.0
420,AUS,2000,Swimming Women's 200 metres Freestyle,0.0,1.0,0.0,1.0
421,AUS,2000,Swimming Women's 4 x 100 metres Medley Relay,0.0,0.0,1.0,1.0
422,AUS,2000,Swimming Women's 4 x 200 metres Freestyle Relay,0.0,0.0,1.0,1.0
423,AUS,2000,Taekwondo Men's Heavyweight,0.0,0.0,1.0,1.0
424,AUS,2000,Taekwondo Women's Flyweight,0.0,1.0,0.0,1.0
425,AUS,2000,Tennis Men's Doubles,0.0,0.0,1.0,1.0
426,AUS,2000,Trampolining Men's Individual,0.0,0.0,1.0,1.0
427,AUS,2000,Triathlon Women's Olympic Distance,0.0,0.0,1.0,1.0
428,AUS,2000,Water Polo Women's Water Polo,0.0,1.0,0.0,1.0
429,AUS,2004,Archery Men's Individual,1.0,0.0,0.0,1.0
430,AUS,2004,Athletics Men's 20 kilometres Walk,1.0,0.0,0.0,1.0
431,AUS,2004,Athletics Men's 4 x 400 metres Relay,0.0,0.0,1.0,1.0
432,AUS,2004,Athletics Women's 20 kilometres Walk,1.0,0.0,0.0,1.0
433,AUS,2004,Baseball Men's Baseball,0.0,0.0,1.0,1.0
434,AUS,2004,Basketball Women's Basketball,0.0,0.0,1.0,1.0
435,AUS,2004,"Canoeing Men's Kayak Doubles, 500 metres",0.0,0.0,1.0,1.0
436,AUS,2004,"Canoeing Men's Kayak Singles, 500 metres",0.0,0.0,1.0,1.0
437,AUS,2004,"Cycling Men's Individual Pursuit, 4,000 metres",0.0,0.0,1.0,1.0
438,AUS,2004,Cycling Men's Individual Time Trial,1.0,0.0,0.0,1.0
439,AUS,2004,Cycling Men's Keirin,1.0,1.0,0.0,2.0
440,AUS,2004,Cycling Men's Madison,0.0,1.0,0.0,1.0
441,AUS,2004,Cycling Men's Sprint,0.0,1.0,0.0,1.0
442,AUS,2004,"Cycling Men's Team Pursuit, 4,000 metres",0.0,1.0,0.0,1.0
443,AUS,2004,Cycling Women's 500 metres Time Trial,0.0,1.0,0.0,1.0
444,AUS,2004,"Cycling Women's Individual Pursuit, 3,000 metres",0.0,0.0,1.0,1.0
445,AUS,2004,"Cycling Women's Road Race, Individual",0.0,1.0,0.0,1.0
446,AUS,2004,Cycling Women's Sprint,1.0,0.0,0.0,1.0
447,AUS,2004,Diving Men's Platform,0.0,0.0,1.0,1.0
448,AUS,2004,Diving Men's Synchronized Platform,1.0,0.0,0.0,1.0
449,AUS,2004,Diving Men's Synchronized Springboard,1.0,0.0,0.0,1.0
450,AUS,2004,Diving Women's Platform,1.0,1.0,0.0,2.0
451,AUS,2004,Diving Women's Synchronized Springboard,1.0,0.0,0.0,1.0
452,AUS,2004,Hockey Men's Hockey,0.0,1.0,0.0,1.0
453,AUS,2004,Rowing Men's Coxed Eights,1.0,0.0,0.0,1.0
454,AUS,2004,Rowing Men's Coxless Pairs,0.0,1.0,0.0,1.0
455,AUS,2004,Rowing Men's Lightweight Coxless Fours,0.0,0.0,1.0,1.0
456,AUS,2004,Rowing Women's Quadruple Sculls,1.0,0.0,0.0,1.0
457,AUS,2004,Shooting Men's Trap,1.0,0.0,0.0,1.0
458,AUS,2004,Shooting Women's Trap,0.0,1.0,0.0,1.0
459,AUS,2004,Softball Women's Softball,0.0,0.0,1.0,1.0
460,AUS,2004,"Swimming Men's 1,500 metres Freestyle",0.0,1.0,0.0,1.0
461,AUS,2004,Swimming Men's 100 metres Freestyle,1.0,0.0,0.0,1.0
462,AUS,2004,Swimming Men's 200 metres Freestyle,0.0,1.0,0.0,1.0
463,AUS,2004,Swimming Men's 4 x 200 metres Freestyle Relay,0.0,0.0,1.0,1.0
464,AUS,2004,Swimming Men's 400 metres Freestyle,0.0,1.0,1.0,2.0
465,AUS,2004,Swimming Women's 100 metres Breaststroke,1.0,0.0,1.0,2.0
466,AUS,2004,Swimming Women's 100 metres Butterfly,0.0,1.0,0.0,1.0
467,AUS,2004,Swimming Women's 100 metres Freestyle,0.0,1.0,0.0,1.0
468,AUS,2004,Swimming Women's 200 metres Breaststroke,0.0,0.0,1.0,1.0
