Nation,NOC,Year,Sport,Event,Medal
UK,GBR,2012,Tennis,Tennis Men's Singles,Gold
UK,GBR,2012,Tennis,Tennis Mixed Doubles,Silver
UK,GBR,2016,Tennis,Tennis Men's Singles,Gold
USA,USA,1920,Athletics,Athletics Men's 110 metres Hurdles,Bronze
UK,GBR,2012,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
UK,GBR,1988,Athletics,"Athletics Women's 3,000 metres",Bronze
Russia,RUS,2004,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Russia,RUS,2000,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
Kenya,KEN,1972,Boxing,Boxing Men's Welterweight,Bronze
Italy,ITA,1984,Boxing,Boxing Men's Heavyweight,Bronze
Italy,ITA,1960,Boxing,Boxing Men's Featherweight,Gold
Russia,URS,1976,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
Russia,RUS,2012,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Russia,RUS,2012,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Russia,RUS,2012,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Russia,RUS,2016,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Russia,RUS,2016,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Bulgaria,BUL,1988,Boxing,Boxing Men's Light-Flyweight,Gold
Bulgaria,BUL,1964,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Russia,RUS,2000,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Slovakia,SVK,2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Kenya,KEN,1984,Athletics,"Athletics Men's 10,000 metres",Bronze
Kenya,KEN,2012,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Turkey,TUR,1996,Weightlifting,Weightlifting Men's Flyweight,Gold
Turkey,TUR,2000,Weightlifting,Weightlifting Men's Bantamweight,Gold
Turkey,TUR,2004,Weightlifting,Weightlifting Men's Bantamweight,Gold
Mozambique,MOZ,1996,Athletics,Athletics Women's 800 metres,Bronze
Mozambique,MOZ,2000,Athletics,Athletics Women's 800 metres,Gold
Kenya,KEN,1992,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Canada,CAN,1996,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Canada,CAN,1996,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
Canada,CAN,2000,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
USA,USA,1920,Athletics,Athletics Men's Pole Vault,Bronze
USA,USA,1928,Rowing,Rowing Men's Single Sculls,Silver
USA,USA,1952,Diving,Diving Women's Platform,Silver
USA,USA,1956,Diving,Diving Women's Platform,Bronze
USA,USA,1960,Diving,Diving Women's Springboard,Silver
USA,USA,1960,Diving,Diving Women's Platform,Silver
Greece,GRE,1980,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
USA,USA,1984,Swimming,Swimming Men's 400 metres Freestyle,Silver
Sweden,SWE,2012,Sailing,Sailing Men's One Person Dinghy,Bronze
USA,USA,1988,Athletics,Athletics Men's Long Jump,Bronze
Greece,GRE,2004,Taekwondo,Taekwondo Women's Welterweight,Silver
Poland,POL,1976,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Finland,FIN,1920,Athletics,Athletics Men's Javelin Throw,Gold
Finland,FIN,1924,Athletics,Athletics Men's Javelin Throw,Gold
South Korea,KOR,1996,Badminton,Badminton Mixed Doubles,Silver
USA,USA,1976,Swimming,Swimming Men's 200 metres Freestyle,Silver
USA,USA,1976,Swimming,Swimming Men's 100 metres Backstroke,Gold
USA,USA,1976,Swimming,Swimming Men's 200 metres Backstroke,Gold
Estonia,EST,2012,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
Czech Republic,TCH,1964,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Spain,ESP,2008,Tennis,Tennis Men's Singles,Gold
USA,USA,2016,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Italy,ITA,1920,Fencing,"Fencing Men's Sabre, Individual",Silver
Italy,ITA,1912,Fencing,"Fencing Men's Foil, Individual",Gold
Italy,ITA,1920,Fencing,"Fencing Men's Foil, Individual",Gold
Italy,ITA,1920,Fencing,"Fencing Men's Sabre, Individual",Gold
Japan,JPN,2008,Cycling,Cycling Men's Keirin,Bronze
Japan,JPN,2016,Judo,Judo Men's Half-Middleweight,Bronze
Japan,JPN,1984,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
Japan,JPN,2000,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
Belgium,BEL,1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Gold
Hungary,HUN,1960,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Hungary,HUN,1964,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Hungary,HUN,2000,Fencing,"Fencing Women's epee, Individual",Gold
Hungary,HUN,2004,Fencing,"Fencing Women's epee, Individual",Gold
Russia,URS,1976,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
Russia,URS,1976,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Mongolia,MGL,2008,Judo,Judo Men's Half-Heavyweight,Gold
Mongolia,MGL,2012,Judo,Judo Men's Half-Heavyweight,Silver
Japan,JPN,1924,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
Japan,JPN,1996,Judo,Judo Men's Lightweight,Gold
Japan,JPN,2000,Swimming,Swimming Women's 100 metres Backstroke,Silver
Japan,JPN,2008,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Japan,JPN,1996,Judo,Judo Men's Half-Lightweight,Silver
Japan,JPN,2004,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Japan,JPN,2000,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Japan,JPN,1968,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Japan,JPN,1964,Judo,Judo Men's Lightweight,Gold
Japan,JPN,2012,Judo,Judo Men's Lightweight,Silver
Japan,JPN,1968,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Japan,JPN,1968,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Japan,JPN,1968,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Japan,JPN,1968,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Japan,JPN,1968,Gymnastics,Gymnastics Men's Rings,Gold
Japan,JPN,1972,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Japan,JPN,1972,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Japan,JPN,1972,Gymnastics,Gymnastics Men's Rings,Gold
Russia,URS,1976,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
USA,USA,1992,Swimming,Swimming Women's 100 metres Breaststroke,Silver
USA,USA,1992,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
South Korea,KOR,2008,Fencing,"Fencing Women's Foil, Individual",Silver
Iran,IRI,1952,Weightlifting,Weightlifting Men's Bantamweight,Silver
Iran,IRI,1956,Weightlifting,Weightlifting Men's Bantamweight,Bronze
USA,USA,1992,Swimming,Swimming Men's 400 metres Individual Medley,Silver
USA,USA,1996,Swimming,Swimming Men's 400 metres Individual Medley,Silver
Japan,JPN,1936,Athletics,Athletics Men's Marathon,Bronze
Japan,JPN,1932,Athletics,Athletics Men's Long Jump,Bronze
Japan,JPN,1932,Athletics,Athletics Men's Triple Jump,Gold
USA,USA,2000,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
India,IND,2012,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Sweden,SWE,1996,Athletics,Athletics Women's 100 metres Hurdles,Gold
UK,GBR,2012,Rowing,Rowing Men's Coxless Pairs,Bronze
Iran,IRI,1968,Weightlifting,Weightlifting Men's Bantamweight,Gold
Iran,IRI,1972,Weightlifting,Weightlifting Men's Bantamweight,Silver
Iran,IRI,1976,Weightlifting,Weightlifting Men's Flyweight,Bronze
Iran,IRI,2012,Weightlifting,Weightlifting Men's Heavyweight,Silver
Poland,POL,1996,Judo,Judo Men's Half-Heavyweight,Gold
Indonesia,INA,2008,Badminton,Badminton Mixed Doubles,Silver
Germany,GER,1952,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Norway,NOR,1920,Shooting,"Shooting Men's Running Target, Single Shot",Bronze
Germany,GER,1900,Sailing,Sailing Mixed Open,Silver
Belarus,BLR,2016,Weightlifting,Weightlifting Women's Heavyweight,Silver
Russia,URS,1972,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Tajikistan,TJK,2016,Athletics,Athletics Men's Hammer Throw,Gold
Russia,URS,1988,Athletics,Athletics Women's 400 metres,Bronze
Armenia,ARM,1996,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Bulgaria,BUL,2000,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Bulgaria,BUL,2004,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Russia,URS,1972,Fencing,"Fencing Men's Sabre, Individual",Bronze
Russia,URS,1976,Fencing,"Fencing Men's Sabre, Individual",Silver
Kenya,KEN,2004,Athletics,Athletics Women's Marathon,Silver
Kenya,KEN,2008,Athletics,Athletics Women's Marathon,Silver
Canada,CAN,1988,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Australia,AUS,1972,Swimming,Swimming Women's 400 metres Individual Medley,Gold
Germany,GER,1960,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,FRG,1968,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,FRG,1972,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Bulgaria,BUL,1980,Judo,Judo Men's Half-Lightweight,Bronze
Romania,ROU,1956,Boxing,Boxing Men's Light-Heavyweight,Silver
India,IND,2012,Badminton,Badminton Women's Singles,Bronze
USA,USA,1972,Swimming,Swimming Women's 100 metres Freestyle,Gold
Canada,CAN,1984,Sailing,Sailing Mixed One Person Dinghy,Bronze
Germany,GDR,1988,Athletics,Athletics Women's Shot Put,Silver
Germany,GER,1992,Athletics,Athletics Women's Shot Put,Bronze
Australia,AUS,1988,Cycling,Cycling Men's Sprint,Bronze
Australia,AUS,1992,Cycling,Cycling Men's Sprint,Silver
Australia,AUS,2000,Cycling,Cycling Men's Keirin,Silver
Kazakhstan,KAZ,2008,Weightlifting,Weightlifting Women's Middleweight,Silver
Belgium,BEL,1956,Sailing,Sailing Mixed One Person Dinghy,Silver
Belgium,BEL,1960,Sailing,Sailing Mixed One Person Dinghy,Bronze
USA,USA,2000,Athletics,Athletics Men's Shot Put,Silver
USA,USA,2004,Athletics,Athletics Men's Shot Put,Gold
USA,USA,1912,Athletics,Athletics Men's Pole Vault,Silver
USA,USA,1964,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
USA,USA,1968,Swimming,Swimming Men's 200 metres Freestyle,Bronze
USA,USA,1904,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
Hungary,HUN,2004,Fencing,"Fencing Men's Sabre, Individual",Silver
Czech Republic,TCH,1960,Boxing,Boxing Men's Heavyweight,Bronze
Czech Republic,TCH,1960,Boxing,Boxing Men's Light-Welterweight,Gold
Hungary,HUN,1960,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Hungary,HUN,1948,Athletics,Athletics Men's Hammer Throw,Gold
Hungary,HUN,1952,Athletics,Athletics Men's Hammer Throw,Bronze
Hungary,HUN,1976,Athletics,Athletics Men's Javelin Throw,Gold
Hungary,HUN,1968,Athletics,Athletics Women's Javelin Throw,Gold
USA,USA,1932,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Russia,RUS,1996,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Russia,RUS,1996,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Russia,RUS,1996,Gymnastics,Gymnastics Men's Horse Vault,Gold
Russia,RUS,1996,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Russia,RUS,2000,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Russia,RUS,2000,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Russia,RUS,2000,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Russia,RUS,2000,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Russia,RUS,2000,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Serbia,YUG,1972,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Italy,ITA,1956,Boxing,Boxing Men's Light-Welterweight,Silver
Estonia,EST,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Estonia,EST,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Austria,AUT,1900,Fencing,"Fencing Men's Sabre, Masters, Individual",Bronze
Italy,ITA,1928,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Italy,ITA,1932,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Italy,ITA,1932,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Germany,GER,2004,Athletics,Athletics Women's Javelin Throw,Silver
Germany,FRG,1984,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Germany,FRG,1988,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
Germany,GER,1992,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Belarus,BLR,2004,Athletics,Athletics Women's 100 metres,Gold
Russia,RUS,2004,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
Russia,RUS,2004,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Suriname,SUR,1988,Swimming,Swimming Men's 100 metres Butterfly,Gold
Suriname,SUR,1992,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Estonia,EST,1920,Weightlifting,Weightlifting Men's Lightweight,Gold
Estonia,EST,1924,Weightlifting,Weightlifting Men's Middleweight,Silver
Germany,GER,1992,Cycling,Cycling Women's Sprint,Silver
Germany,GER,1928,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
Austria,AUT,1896,Swimming,Swimming Men's 500 metres Freestyle,Gold
Germany,GER,1908,Cycling,Cycling Men's Sprint,Bronze
Germany,GDR,1980,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Germany,FRG,1976,Judo,Judo Men's Heavyweight,Silver
Finland,FIN,1964,Athletics,Athletics Men's Javelin Throw,Gold
USA,USA,2008,Athletics,Athletics Men's 400 metres,Bronze
Ireland,IRL,2012,Boxing,Boxing Men's Bantamweight,Silver
Russia,URS,1976,Judo,Judo Men's Half-Middleweight,Gold
UK,GBR,1908,Archery,Archery Women's Double National Round,Gold
Australia,AUS,2000,Diving,Diving Men's Synchronized Springboard,Bronze
USA,USA,1976,Athletics,Athletics Men's 400 metres,Silver
USA,USA,1904,Athletics,Athletics Men's Marathon,Bronze
USA,USA,1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",Bronze
USA,USA,1924,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Canada,CAN,1920,Boxing,Boxing Men's Lightweight,Bronze
UK,GBR,2008,Cycling,Cycling Men's Points Race,Bronze
Kenya,KEN,2000,Athletics,"Athletics Men's 1,500 metres",Gold
Kenya,KEN,1988,Athletics,"Athletics Men's 5,000 metres",Gold
Germany,GER,2012,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Germany,GER,2012,Gymnastics,Gymnastics Men's Parallel Bars,Silver
France,FRA,2016,Taekwondo,Taekwondo Women's Welterweight,Silver
UK,GBR,1956,Boxing,Boxing Men's Featherweight,Silver
New Zealand,NZL,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Australia,AUS,1972,Cycling,Cycling Men's Sprint,Silver
UK,GBR,1928,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold
Italy,ITA,1920,Art Competitions,Art Competitions Mixed Literature,Gold
France,FRA,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
USA,USA,1956,Athletics,Athletics Men's Shot Put,Silver
USA,USA,1960,Athletics,Athletics Men's Shot Put,Gold
Germany,FRG,1988,Cycling,"Cycling Women's Road Race, Individual",Silver
Denmark,DEN,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
Denmark,DEN,1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Silver
Denmark,DEN,1988,Swimming,Swimming Men's 200 metres Butterfly,Silver
Denmark,DEN,1992,Boxing,Boxing Men's Super-Heavyweight,Bronze
Denmark,DEN,1924,Boxing,Boxing Men's Lightweight,Gold
Denmark,DEN,1896,Shooting,"Shooting Men's Free Pistol, 30 metres",Silver
Denmark,DEN,1896,Fencing,"Fencing Men's Sabre, Individual",Bronze
Denmark,DEN,1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Bronze
Denmark,DEN,2012,Badminton,Badminton Mixed Doubles,Bronze
Denmark,DEN,1980,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Finland,FIN,1948,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Bronze
Finland,FIN,1984,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
Finland,FIN,1920,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Finland,FIN,2008,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Switzerland,SUI,1936,Cycling,"Cycling Men's Road Race, Individual",Bronze
USA,USA,1904,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Russia,RUS,2012,Judo,Judo Men's Half-Middleweight,Bronze
Belgium,BEL,1948,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
UK,GBR,1964,Athletics,Athletics Men's 50 kilometres Walk,Silver
Finland,FIN,1924,Athletics,Athletics Men's Discus Throw,Silver
Netherlands,NED,1980,Athletics,Athletics Men's Marathon,Silver
Russia,URS,1956,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Russia,URS,1980,Weightlifting,Weightlifting Men's Heavyweight I,Silver
Ukraine,UKR,2004,Trampolining,Trampolining Men's Individual,Gold
Finland,FIN,1936,Athletics,Athletics Men's Javelin Throw,Silver
Finland,FIN,1912,Athletics,"Athletics Men's Shot Put, Both Hands",Bronze
Finland,FIN,1912,Athletics,"Athletics Men's Discus Throw, Both Hands",Silver
Finland,FIN,1920,Athletics,Athletics Men's Shot Put,Silver
Finland,FIN,1920,Athletics,Athletics Men's Discus Throw,Gold
Greece,GRE,2004,Taekwondo,Taekwondo Men's Heavyweight,Silver
Greece,GRE,2008,Taekwondo,Taekwondo Men's Heavyweight,Silver
Russia,URS,1960,Gymnastics,Gymnastics Women's Horse Vault,Gold
Germany,GDR,1980,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Russia,URS,1956,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Russia,EUN,1992,Athletics,Athletics Women's 10 kilometres Walk,Silver
Russia,RUS,1996,Athletics,Athletics Women's 10 kilometres Walk,Gold
Greece,GRE,1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Bronze
Greece,GRE,1896,Cycling,Cycling Men's Sprint,Silver
Greece,GRE,1896,Cycling,Cycling Men's 333 metres Time Trial,Silver
Bulgaria,BUL,1964,Boxing,Boxing Men's Light-Heavyweight,Bronze
Bulgaria,BUL,1972,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
Bulgaria,BUL,1952,Boxing,Boxing Men's Middleweight,Bronze
Bulgaria,BUL,1972,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
Bulgaria,BUL,1976,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Russia,EUN,1992,Athletics,Athletics Men's Hammer Throw,Bronze
Norway,NOR,1936,Boxing,Boxing Men's Heavyweight,Bronze
Finland,FIN,1968,Boxing,Boxing Men's Light-Welterweight,Bronze
Sweden,SWE,1948,Boxing,Boxing Men's Heavyweight,Silver
Sweden,SWE,2000,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Sweden,SWE,2004,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Sweden,SWE,1948,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Sweden,SWE,1952,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Sweden,SWE,1956,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Sweden,SWE,1908,Athletics,Athletics Men's Javelin Throw,Bronze
Sweden,SWE,1948,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Germany,GER,2000,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Germany,GER,2004,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Japan,JPN,1976,Judo,Judo Men's Half-Heavyweight,Gold
Switzerland,SUI,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
UK,GBR,1928,Rowing,Rowing Men's Coxless Pairs,Silver
Japan,JPN,1932,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
Japan,JPN,1932,Athletics,Athletics Men's Pole Vault,Silver
Japan,JPN,1936,Athletics,Athletics Men's Pole Vault,Silver
Japan,JPN,2016,Tennis,Tennis Men's Singles,Bronze
Japan,JPN,1972,Judo,Judo Men's Heavyweight,Bronze
France,FRA,2004,Fencing,"Fencing Women's epee, Individual",Bronze
USA,USA,1984,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
China,CHN,2000,Shooting,"Shooting Men's Running Target, 10 metres",Bronze
Russia,URS,1960,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
Kazakhstan,KAZ,2012,Boxing,Boxing Men's Light-Heavyweight,Silver
Kazakhstan,KAZ,2016,Boxing,Boxing Men's Light-Heavyweight,Silver
Burundi,BDI,1996,Athletics,"Athletics Men's 5,000 metres",Gold
Burundi,BDI,2016,Athletics,Athletics Women's 800 metres,Silver
Russia,RUS,2004,Athletics,Athletics Men's 50 kilometres Walk,Silver
Russia,RUS,2008,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Italy,ITA,1932,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
South Korea,KOR,1988,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
Poland,POL,2012,Sailing,Sailing Women's Windsurfer,Bronze
Germany,FRG,1976,Swimming,Swimming Men's 100 metres Freestyle,Bronze
France,FRA,1972,Fencing,"Fencing Men's Foil, Individual",Bronze
UK,GBR,1908,Racquets,Racquets Men's Singles,Gold
Japan,JPN,2004,Athletics,Athletics Women's Marathon,Gold
UK,GBR,1924,Athletics,Athletics Men's Hammer Throw,Bronze
Dominican Republic,DOM,1984,Boxing,Boxing Men's Bantamweight,Bronze
Japan,JPN,1996,Judo,Judo Men's Extra-Lightweight,Gold
Japan,JPN,2000,Judo,Judo Men's Extra-Lightweight,Gold
Japan,JPN,2004,Judo,Judo Men's Extra-Lightweight,Gold
Japan,JPN,1972,Judo,Judo Men's Half-Middleweight,Gold
Estonia,EST,2000,Athletics,Athletics Men's Decathlon,Gold
Germany,GDR,1988,Swimming,Swimming Women's 200 metres Butterfly,Gold
Sweden,SWE,1948,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Gold
Sweden,SWE,2012,Triathlon,Triathlon Women's Olympic Distance,Silver
Norway,NOR,2008,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Sweden,SWE,1912,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
Germany,GDR,1968,Athletics,Athletics Men's Pole Vault,Bronze
Germany,GDR,1972,Athletics,Athletics Men's Pole Vault,Gold
USA,USA,1924,Swimming,Swimming Women's 400 metres Freestyle,Gold
USA,USA,1928,Swimming,Swimming Women's 400 metres Freestyle,Gold
Sweden,SWE,1920,Figure Skating,Figure Skating Women's Singles,Silver
Australia,AUS,1968,Athletics,Athletics Men's 200 metres,Silver
Iran,IRI,2012,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Germany,GER,1964,Athletics,"Athletics Men's 5,000 metres",Silver
Denmark,DEN,1964,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Australia,AUS,2000,Swimming,Swimming Men's 200 metres Butterfly,Bronze
Australia,AUS,1964,Sailing,Sailing Mixed 5.5 metres,Gold
USA,USA,1972,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
USA,USA,1924,Athletics,Athletics Men's Decathlon,Silver
USA,USA,1920,Athletics,Athletics Men's 400 metres Hurdles,Silver
Egypt,EGY,1928,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
USA,USA,1992,Sailing,Sailing Mixed Multihull,Silver
Germany,GER,1992,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
USA,USA,1996,Cycling,Cycling Men's Sprint,Silver
USA,USA,2000,Cycling,Cycling Men's Sprint,Gold
USA,USA,2000,Weightlifting,Weightlifting Women's Flyweight,Gold
Hungary,HUN,2000,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
Hungary,HUN,1952,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver
Russia,URS,1952,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Hungary,HUN,1980,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Russia,URS,1960,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Russia,URS,1964,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Russia,URS,1976,Judo,Judo Men's Heavyweight,Gold
Belarus,BLR,2008,Weightlifting,Weightlifting Women's Featherweight,Bronze
Russia,URS,1968,Fencing,"Fencing Women's Foil, Individual",Gold
Russia,URS,1976,Fencing,"Fencing Women's Foil, Individual",Bronze
Czech Republic,TCH,1988,Tennis,Tennis Women's Doubles,Silver
Czech Republic,CZE,1996,Tennis,Tennis Women's Singles,Bronze
Czech Republic,CZE,1996,Tennis,Tennis Women's Doubles,Silver
Russia,URS,1976,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
Poland,POL,2016,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
France,FRA,1992,Judo,Judo Women's Extra-Lightweight,Gold
Poland,POL,1964,Weightlifting,Weightlifting Men's Featherweight,Bronze
Germany,GDR,1976,Boxing,Boxing Men's Featherweight,Silver
Poland,POL,1976,Cycling,"Cycling Men's Road Race, Individual",Bronze
Poland,POL,2016,Athletics,Athletics Men's Hammer Throw,Bronze
Belgium,BEL,1952,Cycling,"Cycling Men's Road Race, Individual",Gold
Georgia,GEO,2004,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
USA,USA,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Bronze
USA,USA,1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Gold
Italy,ITA,1984,Fencing,"Fencing Men's Foil, Individual",Gold
Cuba,CUB,1980,Weightlifting,Weightlifting Men's Bantamweight,Gold
Australia,AUS,1984,Athletics,Athletics Women's Heptathlon,Gold
Bulgaria,BUL,1972,Weightlifting,Weightlifting Men's Featherweight,Gold
Bulgaria,BUL,1976,Weightlifting,Weightlifting Men's Bantamweight,Gold
Finland,FIN,1920,Athletics,"Athletics Men's 5,000 metres",Silver
Finland,FIN,1920,Athletics,"Athletics Men's 10,000 metres",Gold
Finland,FIN,1920,Athletics,"Athletics Men's Cross-Country, Individual",Gold
Finland,FIN,1924,Athletics,"Athletics Men's 1,500 metres",Gold
Finland,FIN,1924,Athletics,"Athletics Men's 5,000 metres",Gold
